Rxn	Rxn name	Gene Protein Reaction Rule	EC Number	TN(s-1)	Substrate	Organism	Commentary	Reference
GSNt2pp	guanosine transport in via proton symport (periplasm)	b2964						
GSNtex	guanosine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
GSPMDA	Glutathionylspermidine amidase	b2988	3.5.1.78					
GSPMDS	Glutathionylspermidine synthetase	b2988	6.3.1.8					
GTHOXtex	glutathione (ox) transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
GTHOr	glutathione oxidoreductase	b3500	1.8.1.7	900	NADPH	Saccharomyces cerevisiae	native Glr1	"Crystal structure of glutathione reductase Glr1 from the yeast Saccharomyces cerevisiae, Yu, J.; Zhou, C.; Proteins Struct. Func... <Preview truncated at 128 characters>"
GTHPi	glutathione peridoxase	b1710	1.11.1.9					
GTHRDHpp	glutathione hydralase (periplasmic)	b3447						
GTHRDabc2pp	glutathione export via ABC system (cytoplasm to periplasm)	(b0886 and b0887)						
GTHRDabcpp	Reduced glutathione via ABC system (periplasm)	(b0829 and b0830 and b0831 and b0832)						
GTHRDtex	glutathione transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
GTHS	glutathione synthetase	b2947	6.3.2.3					
GTPCI	GTP cyclohydrolase I	b2153	3.5.4.16					
GTPCII2	GTP cyclohydrolase II (25drapp)	b1277						
GTPDPDP	"guanosine-5-triphosphate,3-diphosphate diphosphatase"	b3779	3.6.1.40	1.1	Polyphosphate	Escherichia coli	-	"Guanosine pentaphosphate phosphohydrolase of Escherichia coli is a long chain exopolyphosphatase, Keasling, J.D.; Bertsch, L.; K... <Preview truncated at 128 characters>"
GTPDPK	GTP diphosphokinase	b2784	2.7.6.5					
GTPHs	GTP amine hydrolysis (spontaneous)	s0001						
GTPtex	GTP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
GUACYC	guanylate cyclase		4.6.1.2					
GUAD	guanine deaminase	b2883	3.5.4.3					
GUAPRT	guanine phosphoribosyltransferase	(b0238 or b0125)	2.4.2.8					
GUAt2pp	guanine transport in via proton symport (periplasm)	b3654						
GUAtex	Guanine transport via diffusion (extracellular to periplasm)	b0411						
GUAtpp	Guanine transport via diffusion (periplasm)							
GUI1	glucuronate isomerase (D-glucuronate)	b3092	5.3.1.12					
GUI2	glucuronate isomerase (D-galacturonate)	b3092	5.3.1.12					
GUR1PPpp	Glucuronate 1-phosphate phosphatase (periplasm)							
H2O2tex	hydrogen peroxide transport via diffusion (external)	(b0241 or b0929 or b1377 or b2215)						
H2Otex	H2O transport via diffusion (extracellular to periplasm)	(s0001 or b0957 or b3875 or b2215 or b0241 or b1319 or b1377 or b0929)						
H2Otpp	H2O transport via diffusion (periplasm)	(s0001 or b0875)						
H2SO	Hydrogen sulfide oxidation							
H2St1pp	h2s transport (periplasm)	s0001						
H2Stex	h2s transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
H2tex	hydrogen transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
H2tpp	hydrogen transport diffusion (periplasm)	s0001						
HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HACD2	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HACD3	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HACD4	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HACD5	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HACD6	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HACD7	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HACD8	"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal"	(b3846 or b2341)	1.1.1.35	1817	NAD+	Homo sapiens	"isozyme SCHAD I, at pH 7.0"	"Role of short chain hydroxyacyl CoA dehydrogenases in SCHAD deficiency, Filling, C.; Keller, B.; Hirschberg, D.; Marschall, H.U.... <Preview truncated at 128 characters>"
HADPCOADH3	3-hydroxyadipyl-CoA dehydrogenase (NAD+)	b1395						
HBZOPT	Hydroxybenzoate octaprenyltransferase	b4040						
HCINNMt2rpp	"3-hydroxycinnamic acid transport via proton symport, reversible (periplasm)"	b0353						
HCINNMtex	3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
HCO3E	HCO3 equilibration reaction	(b0126 or b0339)	4.2.1.1					
HCYSMT	homocysteine S-methyltransferase	b0261	2.1.1.10					
HCYSMT2	Homocysteine Methyltransferase	b0261						
HDCAtexi	Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	b2344						
HDCEAtexi	Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm)	b2344						
HEMEOS	Heme O synthase	b0428						
HEPK1	LPS heptose kinase I (LPS core synthesis)	b3630						
HEPK2	LPS heptose kinase II (LPS core synthesis)	b3625						
HEPT1	heptosyltransferase I (LPS core synthesis)	b3621						
HEPT2	heptosyltransferase II (LPS core synthesis)	b3620						
HEPT3	heptosyltransferase III (LPS core synthesis)	b3632						
HEPT4	heptosyltransferase IV (LPS core synthesis)	b3623						
HETZK	hydroxyethylthiazole kinase	b2104	2.7.1.50					
HEX1	hexokinase (D-glucose:ATP)	b2388	2.7.1.1					
HEX4	hexokinase (D-mannose:ATP)		2.7.1.7					
HEX7	hexokinase (D-fructose:ATP)	b0394	2.7.1.1					
HEXt2rpp	"hexanoate transport via proton symport, reversible (periplasm)"	b2223						
HG2abcpp	Mercury (Hg+2) ABC transporter (periplasm)	b3469						
HG2t3pp	mercury (Hg+2) transport out via proton antiport (periplasm)	b3915						
HG2tex	mercury (Hg+2) transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
HISTD	histidinol dehydrogenase	b2020	1.1.1.23					
HISTP	histidinol-phosphatase	b2022	3.1.3.15					
HISTRS	Histidyl-tRNA synthetase	b2514	6.1.1.21	142	His	Escherichia coli	"wild type HisRS, ATP diphosphate exchange"	"Design of an active fragment of a class II aminoacyl tRNA synthetase and its significance for synthetase evolution, Augustine, J... <Preview truncated at 128 characters>"
HISabcpp	L-histidine transport via ABC system (periplasm)	(b2309 and b2307 and b2306 and b2308)						
HISt2rpp	L-histidine reversible transport via proton symport (periplasm)	b0112						
HIStex	L-histidine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
HKNDDH	"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase"	b0349						
HKNTDH	2-hydroxy-6-ketononotrienedioate hydrolase	b0349						
HMBS	hydroxymethylbilane synthase	b3805	4.3.1.8					
HMPK1	hydroxymethylpyrimidine kinase (ATP)	(b2103 or b2418)	2.7.1.49					
HOMt2pp	L-homoserineserine efflux via proton symport	(b0813 or b3824)						
HOMtex	L-homoserine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
HOPNTAL	4-hydroxy-2-oxopentanoate aldolase	b0352						
HPPK2	6-hydroxymethyl-dihydropterin pyrophosphokinase	b0142	2.7.6.3					
HPPPNDO	"2,3-dihydroxypheylpropionate 1,2-dioxygenase"	b0348	1.13.11.16					
HPPPNt2rpp	"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)"	b0353						
HPPPNtex	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	(b0929 or b1377 or b2215 or b0241)						
HPYRI	hydroxypyruvate isomerase	b0508	5.3.1.22					
HPYRRx	Hydroxypyruvate reductase (NADH)	(b1033 or b3553)						
HPYRRy	Hydroxypyruvate reductase (NADPH)	(b1033 or b3553)						
HSDy	homoserine dehydrogenase (NADPH)	(b3940 or b0002)	1.1.1.3	24	L-homoserine	Escherichia coli	"recombinant hybrid bifunctional holoenzyme AKIII HDHI+ containing the interface region, homoserine dehydrogenase activity"	Production and characterization of bifunctional enzymes. Domain swapping to produce new bifunctional enzymes in the aspartate pa... <Preview truncated at 128 characters>
HSK	homoserine kinase	b0003	2.7.1.39					
HSST	homoserine O-succinyltransferase	b4013	2.3.1.46					
HSTPT	histidinol-phosphate transaminase	b2021	2.6.1.9	4.1	L-phenylalanine	Corynebacterium glutamicum	wild type	Insights into the structural basis of substrate recognition by histidinol phosphate aminotransferase from Corynebacterium glutam... <Preview truncated at 128 characters>
HXAND	hypoxanthine dehydrogenase	(b2866 and b2867 and b2868)						
HXAtex	Hexanoate transport via diffusion (extracellular to periplasm)	(b2215 or b0241 or b0929 or b1377)						
HXCT	Acetyl-CoA:hexanoate-CoA transferase	(b2221 and b2222)	2.8.3.8					
HXPRT	hypoxanthine phosphoribosyltransferase (Hypoxanthine)	(b0238 or b0125)	2.4.2.8					
HYPOE	hypothetical enyme							
HYXNtex	Hypoxanthine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
HYXNtpp	Hypoxanthine transport (periplasm)							
Htex	proton transport via diffusion (extracellular to periplasm)	(b0929 or b1377 or b2215 or b0241)						
I2FE2SR	ISC [2Fe-2S] regeneration	(b2530 and b2529)						
I2FE2SS	ISC [2Fe-2S] Synthesis	(b3807 and b2530 and b2529)						
I2FE2SS2	ISC [2Fe-2S] Synthesis II	(b3807 and b2530 and b2529)						
I2FE2ST	ISC [2Fe-2S] Transfer	(b2528 and b2529)						
I4FE4SR	ISC [4Fe-4S] Reduction	b2529						
I4FE4ST	ISC [4Fe-4S] Transfer	(b2528 and b2529)						
ICDHyr	isocitrate dehydrogenase (NADP)	b1136	1.1.1.42					
ICHORS	isochorismate synthase	b2265	5.4.99.6					
ICHORSi	Isochorismate Synthase	b0593						
ICHORT	isochorismatase	b0595	3.3.2.1					
ICL	Isocitrate lyase	b4015	4.1.3.1					
ICYSDS	ISC Cysteine desulfuration	b2530						
IDOND	L-idonate 5-dehydrogenase	b4267						
IDOND2	L-indonate 5-dehydrogenase (NADP)	b4267						
IDONt2rpp	"L-idonate transport via proton symport, reversible (periplasm)"	b4265						
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
IG3PS	Imidazole-glycerol-3-phosphate synthase	(b2023 and b2025)						
IGPDH	imidazoleglycerol-phosphate dehydratase	b2022	4.2.1.19					
IGPS	indole-3-glycerol-phosphate synthase	b1262	4.1.1.48					
ILETA	isoleucine transaminase	b3770	2.6.1.42					
ILETRS	Isoleucyl-tRNA synthetase	b0026	6.1.1.5	104	Isoleucine	Escherichia coli	wild type enzyme	Mutation of the carboxy terminal zinc finger of E. coli isoleucyl tRNA synthetase alters zinc binding and aminoacylation activit... <Preview truncated at 128 characters>
ILEabcpp	L-isoleucine transport via ABC system (periplasm)	(b3454 and b3455 and b3457 and b3460 and b3456)						
ILEt2rpp	L-isoleucine reversible transport via proton symport (periplasm)	b0401						
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
IMPC	IMP cyclohydrolase	b4006	3.5.4.10					
IMPD	IMP dehydrogenase	b2508	1.1.1.205					
IMPtex	IMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
INDOLEt2pp	"Indole transport via proton symport, irreversible (periplasm)"	((b3265 and b3266) and b3035)						
INDOLEt2rpp	"Indole transport via proton symport, reversible (periplasm)"	b3161						
INDOLEtex	Indole transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
INOSTt4pp	Na+/myo-inositol symporter (periplasm)	b3679						
INSH	Inosine hydrolase	b0030	3.2.2.8					
INSK	insosine kinase	b0477	2.7.1.73					
INSTtex	inositol transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
INSt2pp	inosine transport in via proton symport (periplasm)	b2964						
INSt2rpp	"inosine transport in via proton symport, reversible (periplasm)"	b2406						
INStex	inosine transport via diffusion (extracellular to periplasm)	b0411						
IPDDI	isopentenyl-diphosphate D-isomerase	b2889	5.3.3.2					
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	b0029						
IPMD	3-isopropylmalate dehydrogenase	b0073	1.1.1.85					
IPPMIa	3-isopropylmalate dehydratase	(b0071 and b0072)	4.2.1.33					
IPPMIb	2-isopropylmalate hydratase	(b0071 and b0072)	4.2.1.33					
IPPS	2-isopropylmalate synthase	b0074	4.1.3.12					
ISETACabcpp	isethionate transport via ABC system (periplasm)	((b0365 and b0366 and b0367) or (b0936 and b0933 and b0934))						
ISETACtex	isethionate transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
K2L4Aabcpp	KDO(2)-lipid IV A transport via ABC system (periplasm)	b0914						
K2L4Aabctex	KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)	(b3200 and b3201 and b3199 and b4261 and b4262)						
KARA1	"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)"	b3774	1.1.1.86					
KARA2	ketol-acid reductoisomerase (2-Acetolactate)	b3774	1.1.1.86					
KAS14	beta-ketoacyl-ACP synthase	(b2323 or b1095)	2.3.1.41	551	decanoyl-[acyl-carrier-protein]	Homo sapiens	"pH 6.8, 37°C"	"Cloning, expression, and characterization of the human mitochondrial beta ketoacyl synthase. Complementation of the yeast CEM1 k... <Preview truncated at 128 characters>"
KAS15	beta-ketoacyl-ACP synthase (2)	b1091						
KDOCT2	3-deoxy-manno-octulosonate cytidylyltransferase	b0918	2.7.7.38	20000	NA	NA	NA	NA
KDOPP	3-deoxy-manno-octulosonate-8-phosphatase	b3198	3.1.3.45	20000	NA	NA	NA	NA
KDOPS	3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase	b1215	4.1.2.16	20000	NA	NA	NA	NA
KG6PDC	3-keto-L-gulonate 6-phosphate decarboxylase	(b4196 or b3581)						
Kabcpp	Potassium ABC transporter (periplasm)	((b0698 and b0697 and b0696) or (b0698 and b0697 and b0696 and b4513))						
Kt2pp	potassium transport in via proton symport (periplasm)	((b1291 and b3290 and b3849) or b1250 or (b1291 and b3290 and b1363) or b3747)						
Kt3pp	potassium transport out via proton antiport (periplasm)	(b1216 or b0842 or b3350 or b0047)						
Ktex	potassium transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
L-LACD2	L-Lactate dehydrogenase (ubiquinone)	(b3605 or (b0306 and b0307 and b0308))	1.1.2.3	473	L-lactate	Saccharomyces cerevisiae	wild type enzyme	"On the rate of proton exchange with solvent of the catalytic histidine in flavocytochrome b2 (yeast L lactate dehydrogenase), Ba... <Preview truncated at 128 characters>"
L-LACD3	L-Lactate dehydrogenase (menaquinone)	(b3605 or (b0306 and b0307 and b0308))	1.1.2.3	473	L-lactate	Saccharomyces cerevisiae	wild type enzyme	"On the rate of proton exchange with solvent of the catalytic histidine in flavocytochrome b2 (yeast L lactate dehydrogenase), Ba... <Preview truncated at 128 characters>"
L-LACt2rpp	L-lactate reversible transport via proton symport (periplasm)	(b3603 or b2975)						
L-LACtex	L-lactate transport via diffusion (extracellular to periplasm)	(b0929 or b1377 or b2215 or b0241)						
LA4NTpp	"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))"	b2257						
LACZ	b-galactosidase	b0344	3.2.1.23					
LACZpp	b-galactosidase	b2132	3.2.1.108					
LADGMDH	L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase	b1326						
LALADGLUtex	L-alanyl-D-glutamate transport via diffusion (extracellular to periplasm)	(b2215 or b1377 or b0241 or b0929)						
LALADGLUtpp	L-alanyl-D-glutamate transport in via proton symport (periplasm)	(b1634 or b3496 or b4130 or b0709)						
LALALGLUtex	L-alanyl-L-glutamate transport via diffusion (extracellular to periplasm)	(b2215 or b1377 or b0241 or b0929)						
LALALGLUtpp	L-alanyl-L-glutamate transport in via proton symport (periplasm)	(b1634 or b3496 or b4130 or b0709)						
LALDO3	L-Lactaldehyde:NADP+ 1-oxidoreductase		1.1.1.21	266	Methylglyoxal	Candida tenuis	-	"Structural and functional properties of alsode xylose reductase from the D xylose metabolizing Candida tenuis, Nidetzky, B.; May... <Preview truncated at 128 characters>"
LALGP	L-alanyl-gamma-L-glutamate peptidase	b0237						
LCADi	lactaldehyde dehydrogenase	b1415	1.2.1.21	20000	NA	NA	NA	NA
LCARR	"lacaldehyde reductase (R-propane-1,2-diol forming)"		1.1.1.77					
LCARS	"lacaldehyde reductase (S-propane-1,2-diol forming)"	b2799	1.1.1.77					
LCTSt3ipp	Lactose transport via proton aniport (periplasm)	(b2170 or b0070 or b1528)						
LCTStex	Lactose transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
LCTStpp	Lactose transport via proton symport (periplasm)	b0343						
LDH_D	D-lactate dehydrogenase	(b2133 or b1380)	1.1.1.28					
LDH_D2	D-lactate dehydrogenase	b2133	1.1.2.4					
LEUTAi	leucine transaminase (irreversible)	(b3770 or b4054)	2.6.1.42					
LEUTRS	Leucyl-tRNA synthetase	b0642	6.1.1.4	171	L-leucine	Escherichia coli	"ATP diphosphate exchange reaction, wild type enzyme, pH 7.8, 37°C"	"CP1 domain in Escherichia coli leucyl tRNA synthetase is crucial for its editing function, Chen, J.F.; Guo, N.N.; Li, T.; Wang, ... <Preview truncated at 128 characters>"
LEUabcpp	L-leucine transport via ABC system (periplasm)	((b3454 and b3455 and b3457 and b3460 and b3456) or (b3454 and b3455 and b3457 and b3458 and b3456))						
LEUt2rpp	L-leucine reversible transport via proton symport (periplasm)	b0401						
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
LGTHL	lactoylglutathione lyase	b1651	4.4.1.5	6700	Phenylglyoxal	Saccharomyces cerevisiae	-	"Comparison of glyoxalase I purified from yeast (Saccharomyces cerevisiae) with the enzyme from mammalian sources, Marmstal, E.; ... <Preview truncated at 128 characters>"
LIPACabcpp	lipid (cold) A transport via ABC system (periplasm)	b0914						
LIPAHT2ex	core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	b0622						
LIPAHTex	Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	b0622						
LIPAMPL	Lipoyl-adenylate protein ligase	b4386						
LIPATPT	Lipoate-ATP adenylate transferase	b4386						
LIPAabcpp	lipid A transport via ABC system (periplasm)	b0914						
LIPAabctex	lipid A transport via ABC system (periplasm to extracellular)	(b3200 and b3201 and b3199 and b4261 and b4262)						
LIPOCT	Lipoyl(octanoyl) transferase	b0630						
LIPOS	Lipoate synthase	b0628						
LIPOt2pp	Lipoate transport via proton symport (periplasm)							
LIPOtex	lipoate transport via diffusion (extracellular to periplasm)	(b1377 or b2215 or b0929 or b0241)						
LPADSS	Lipid A disaccaride synthase	b0182	2.4.1.182	20000	NA	NA	NA	NA
LPLIPAL1A120pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1A140pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1A141pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1A160pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1A161pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1A180pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1A181pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1E120pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1E140pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1E141pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1E160pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1E161pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1E180pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1E181pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1G120pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1G140pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1G141pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1G160pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1G161pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1G180pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL1G181pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:1) (periplasm)"	b0494	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2A120	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2A140	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:0)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2A141	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2A160	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2A161	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2A180	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2A181	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2ATE120	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)"	b3825						
LPLIPAL2ATE140	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:0)"	b3825						
LPLIPAL2ATE141	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:1)"	b3825						
LPLIPAL2ATE160	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:0)"	b3825						
LPLIPAL2ATE161	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:1)"	b3825						
LPLIPAL2ATE180	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:0)"	b3825						
LPLIPAL2ATE181	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:1)"	b3825						
LPLIPAL2ATG120	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C12:0)"	b3825						
LPLIPAL2ATG140	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:0)"	b3825						
LPLIPAL2ATG141	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:1)"	b3825						
LPLIPAL2ATG160	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:0)"	b3825						
LPLIPAL2ATG161	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:1)"	b3825						
LPLIPAL2ATG180	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:0)"	b3825						
LPLIPAL2ATG181	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:1)"	b3825						
LPLIPAL2E120	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2E140	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
LPLIPAL2E141	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)"	b3825	3.1.1.5	20000	NA	NA	NA	NA
